"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3416","home page header is exist test","chromium","2026-06-09","failed","2026-06-09","","homepage.spec.ts","",""
"","2858","invalid login test - invalid@open.com=wrong123","chromium","2026-06-09","passed","2026-06-09","","loginpagefixture.spec.ts","",""
"","3225","user able to login test","chromium","2026-06-09","failed","2026-06-09","","loginpagefixture.spec.ts","",""
"","3563","invalid login test - pwtestbatch@open.com=","chromium","2026-06-09","passed","2026-06-09","","loginpagefixture.spec.ts","",""
"","2256","login page title test","chromium","2026-06-09","passed","2026-06-09","","loginpagefixture.spec.ts","",""
"","3550","home page title test","chromium","2026-06-09","failed","2026-06-09","","homepagefisture.spec.ts","",""
"","4097","home page title test","chromium","2026-06-09","failed","2026-06-09","","homepage.spec.ts","",""
"","2671","forgot password link test","chromium","2026-06-09","passed","2026-06-09","","loginpagefixture.spec.ts","",""
"","3420","home page header is exist test","chromium","2026-06-09","failed","2026-06-09","","homepagefisture.spec.ts","",""
"","3125","forgot password link test","chromium","2026-06-09","passed","2026-06-09","","loginpage.spec.ts","",""
"","5676","logout link exist test","chromium","2026-06-09","failed","2026-06-09","","homepage.spec.ts","",""
"","3961","user able to login test","chromium","2026-06-09","failed","2026-06-09","","loginpage.spec.ts","",""
"","2622","invalid login test - =pw1234","chromium","2026-06-09","passed","2026-06-09","","loginpagefixture.spec.ts","",""
"","3561","logout link exist test","chromium","2026-06-09","failed","2026-06-09","","homepagefisture.spec.ts","",""
"","2716","login page title test","chromium","2026-06-09","passed","2026-06-09","","loginpage.spec.ts","",""
